,시군구,읍면동
0,강남구,개포동
13,강남구,청담동
12,강남구,자곡동
10,강남구,율현동
9,강남구,역삼동
8,강남구,압구정동
7,강남구,신사동
11,강남구,일원동
5,강남구,세곡동
4,강남구,삼성동
3,강남구,도곡동
2,강남구,대치동
1,강남구,논현동
6,강남구,수서동
22,강동구,천호동
14,강동구,강일동
15,강동구,고덕동
16,강동구,길동
17,강동구,둔촌동
18,강동구,명일동
19,강동구,상일동
20,강동구,성내동
21,강동구,암사동
25,강북구,수유동
26,강북구,우이동
23,강북구,미아동
24,강북구,번동
27,강서구,가양동
28,강서구,개화동
29,강서구,공항동
30,강서구,과해동
31,강서구,내발산동
32,강서구,등촌동
33,강서구,마곡동
34,강서구,방화동
35,강서구,염창동
36,강서구,오곡동
37,강서구,외발산동
38,강서구,화곡동
41,관악구,신림동
39,관악구,남현동
40,관악구,봉천동
42,광진구,광장동
43,광진구,구의동
44,광진구,군자동
45,광진구,능동
46,광진구,자양동
47,광진구,중곡동
48,광진구,화양동
55,구로구,오류동
58,구로구,항동
57,구로구,천왕동
56,구로구,온수동
54,구로구,신도림동
50,구로구,개봉동
52,구로구,구로동
51,구로구,고척동
53,구로구,궁동
49,구로구,가리봉동
59,금천구,가산동
60,금천구,독산동
61,금천구,시흥동
66,노원구,하계동
65,노원구,중계동
64,노원구,월계동
63,노원구,상계동
62,노원구,공릉동
67,도봉구,도봉동
68,도봉구,방학동
69,도봉구,쌍문동
70,도봉구,창동
79,동대문구,회기동
80,동대문구,휘경동
77,동대문구,제기동
76,동대문구,전농동
78,동대문구,청량리동
74,동대문구,이문동
73,동대문구,용두동
72,동대문구,신설동
71,동대문구,답십리동
75,동대문구,장안동
89,동작구,흑석동
87,동작구,상도동
86,동작구,상도1동
85,동작구,사당동
88,동작구,신대방동
83,동작구,동작동
82,동작구,대방동
81,동작구,노량진동
84,동작구,본동
104,마포구,신정동
114,마포구,현석동
113,마포구,합정동
112,마포구,하중동
111,마포구,토정동
110,마포구,창전동
109,마포구,중동
108,마포구,용강동
107,마포구,염리동
106,마포구,연남동
105,마포구,아현동
103,마포구,신수동
98,마포구,상수동
101,마포구,성산동
90,마포구,공덕동
92,마포구,당인동
93,마포구,대흥동
94,마포구,도화동
95,마포구,동교동
91,마포구,노고산동
97,마포구,망원동
102,마포구,신공덕동
99,마포구,상암동
100,마포구,서교동
96,마포구,마포동
125,서대문구,옥천동
133,서대문구,홍제동
132,서대문구,홍은동
131,서대문구,현저동
130,서대문구,합동
129,서대문구,충정로3가
128,서대문구,충정로2가
126,서대문구,창천동
124,서대문구,영천동
127,서대문구,천연동
122,서대문구,신촌동
121,서대문구,북아현동
120,서대문구,북가좌동
119,서대문구,미근동
118,서대문구,대현동
117,서대문구,대신동
116,서대문구,냉천동
115,서대문구,남가좌동
123,서대문구,연희동
143,서초구,잠원동
142,서초구,원지동
141,서초구,우면동
140,서초구,염곡동
139,서초구,양재동
138,서초구,신원동
136,서초구,방배동
135,서초구,반포동
134,서초구,내곡동
137,서초구,서초동
153,성동구,송정동
158,성동구,행당동
157,성동구,하왕십리동
156,성동구,응봉동
155,성동구,용답동
154,성동구,옥수동
159,성동구,홍익동
152,성동구,성수동2가
149,성동구,마장동
150,성동구,사근동
144,성동구,금호동1가
145,성동구,금호동2가
151,성동구,성수동1가
147,성동구,금호동4가
148,성동구,도선동
146,성동구,금호동3가
177,성북구,삼선동1가
178,성북구,삼선동2가
179,성북구,상월곡동
180,성북구,석관동
181,성북구,성북동
182,성북구,안암동1가
184,성북구,안암동3가
185,성북구,안암동4가
176,성북구,보문동7가
187,성북구,장위동
188,성북구,정릉동
189,성북구,종암동
190,성북구,하월곡동
183,성북구,안암동2가
186,성북구,안암동5가
174,성북구,보문동5가
173,성북구,보문동4가
160,성북구,길음동
161,성북구,돈암동
162,성북구,동선동1가
175,성북구,보문동6가
164,성북구,동선동4가
165,성북구,동소문동1가
163,성북구,동선동3가
167,성북구,동소문동4가
168,성북구,동소문동5가
169,성북구,동소문동6가
170,성북구,동소문동7가
171,성북구,보문동1가
172,성북구,보문동2가
166,성북구,동소문동2가
198,송파구,송파동
202,송파구,장지동
201,송파구,잠실동
200,송파구,오금동
199,송파구,신천동
197,송파구,석촌동
203,송파구,풍납동
195,송파구,방이동
194,송파구,문정동
193,송파구,마천동
192,송파구,거여동
191,송파구,가락동
196,송파구,삼전동
204,양천구,목동
205,양천구,신월동
206,양천구,신정동
224,영등포구,양평동2가
226,영등포구,양평동4가
227,영등포구,양평동5가
228,영등포구,양평동6가
229,영등포구,여의도동
230,영등포구,영등포동
235,영등포구,영등포동6가
232,영등포구,영등포동2가
233,영등포구,영등포동3가
234,영등포구,영등포동4가
223,영등포구,양평동1가
236,영등포구,영등포동7가
237,영등포구,영등포동8가
231,영등포구,영등포동1가
222,영등포구,양평동
225,영등포구,양평동3가
220,영등포구,문래동6가
221,영등포구,신길동
208,영등포구,당산동1가
209,영등포구,당산동2가
210,영등포구,당산동3가
211,영등포구,당산동4가
212,영등포구,당산동6가
213,영등포구,대림동
207,영등포구,당산동
215,영등포구,문래동1가
216,영등포구,문래동2가
217,영등포구,문래동3가
218,영등포구,문래동4가
219,영등포구,문래동5가
214,영등포구,도림동
256,용산구,원효로4가
257,용산구,이촌동
258,용산구,이태원동
259,용산구,청암동
260,용산구,청파동1가
261,용산구,청파동2가
264,용산구,한강로2가
263,용산구,한강로1가
265,용산구,한강로3가
266,용산구,한남동
267,용산구,효창동
268,용산구,후암동
254,용산구,원효로2가
262,용산구,청파동3가
253,용산구,원효로1가
255,용산구,원효로3가
251,용산구,용산동5가
238,용산구,갈월동
239,용산구,남영동
240,용산구,동빙고동
241,용산구,동자동
242,용산구,문배동
244,용산구,산천동
243,용산구,보광동
246,용산구,서빙고동
247,용산구,신계동
248,용산구,용문동
249,용산구,용산동2가
250,용산구,용산동4가
252,용산구,용산동6가
245,용산구,서계동
276,은평구,역촌동
279,은평구,진관동
278,은평구,증산동
277,은평구,응암동
275,은평구,신사동
274,은평구,수색동
273,은평구,불광동
272,은평구,대조동
271,은평구,녹번동
270,은평구,구산동
269,은평구,갈현동
329,종로구,종로3가
328,종로구,종로2가
327,종로구,적선동
326,종로구,재동
348,종로구,훈정동
325,종로구,장사동
324,종로구,인의동
322,종로구,익선동
330,종로구,종로4가
321,종로구,이화동
317,종로구,연지동
320,종로구,원서동
319,종로구,원남동
318,종로구,옥인동
323,종로구,인사동
331,종로구,종로5가
344,종로구,홍지동
333,종로구,창신동
316,종로구,연건동
347,종로구,효제동
346,종로구,화동
345,종로구,홍파동
343,종로구,혜화동
342,종로구,행촌동
332,종로구,창성동
341,종로구,필운동
339,종로구,통인동
338,종로구,통의동
337,종로구,충신동
336,종로구,체부동
335,종로구,청진동
334,종로구,청운동
340,종로구,평창동
315,종로구,안국동
302,종로구,봉익동
313,종로구,신문로1가
293,종로구,도렴동
292,종로구,당주동
291,종로구,누하동
290,종로구,누상동
289,종로구,내자동
288,종로구,내수동
294,종로구,돈의동
287,종로구,낙원동
285,종로구,교남동
284,종로구,관훈동
282,종로구,관수동
281,종로구,공평동
280,종로구,계동
314,종로구,신영동
286,종로구,교북동
295,종로구,동숭동
283,종로구,관철동
297,종로구,명륜2가
296,종로구,명륜1가
311,종로구,숭인동
309,종로구,송월동
308,종로구,소격동
307,종로구,세종로
306,종로구,서린동
310,종로구,수송동
304,종로구,사직동
298,종로구,명륜3가
305,종로구,삼청동
299,종로구,명륜4가
312,종로구,신교동
301,종로구,무악동
303,종로구,부암동
300,종로구,묘동
388,중구,중림동
377,중구,을지로6가
378,중구,을지로7가
379,중구,의주로2가
381,중구,인현동2가
382,중구,입정동
383,중구,장충동1가
384,중구,장충동2가
385,중구,저동2가
386,중구,정동
387,중구,주교동
380,중구,인현동1가
395,중구,태평로2가
390,중구,충무로2가
391,중구,충무로3가
392,중구,충무로4가
393,중구,충무로5가
394,중구,태평로1가
396,중구,필동2가
397,중구,필동3가
398,중구,황학동
399,중구,회현동1가
400,중구,흥인동
376,중구,을지로5가
389,중구,초동
375,중구,을지로4가
360,중구,봉래동2가
373,중구,을지로2가
349,중구,광희동1가
350,중구,광희동2가
351,중구,남대문로1가
352,중구,남대문로3가
353,중구,남대문로5가
354,중구,남산동2가
355,중구,남창동
356,중구,다동
374,중구,을지로3가
358,중구,명동2가
359,중구,무교동
357,중구,명동1가
362,중구,산림동
372,중구,을지로1가
371,중구,오장동
361,중구,북창동
369,중구,예관동
368,중구,쌍림동
370,중구,예장동
366,중구,순화동
365,중구,수하동
364,중구,소공동
363,중구,서소문동
367,중구,신당동
405,중랑구,신내동
401,중랑구,망우동
402,중랑구,면목동
403,중랑구,묵동
404,중랑구,상봉동
406,중랑구,중화동
