,시도명,시군구명,읍/면/동,설치유무,화재발생횟수
0,전라북도,정읍시,신태인읍,0,11.0
1,전라북도,정읍시,북면,0,10.0
2,전라북도,정읍시,입암면,0,0.0
3,전라북도,정읍시,소성면,0,8.0
4,전라북도,정읍시,고부면,0,12.0
5,전라북도,정읍시,영원면,0,0.0
6,전라북도,정읍시,덕천면,0,5.0
7,전라북도,정읍시,이평면,0,0.0
8,전라북도,정읍시,정우면,0,0.0
9,전라북도,정읍시,태인면,0,0.0
10,전라북도,정읍시,감곡면,0,12.0
11,전라북도,정읍시,옹동면,0,0.0
12,전라북도,정읍시,칠보면,0,0.0
13,전라북도,정읍시,산내면,0,4.0
14,전라북도,정읍시,산외면,0,3.0
15,전라북도,정읍시,수성동,0,8.0
16,전라북도,정읍시,장명동,0,0.0
17,전라북도,정읍시,내장상동,0,0.0
18,전라북도,정읍시,시기동,0,6.0
19,전라북도,정읍시,초산동,0,0.0
20,전라북도,정읍시,연지동,0,5.0
21,전라북도,정읍시,농소동,0,3.0
22,전라북도,정읍시,상교동,0,0.0
