시도명,시군구명,읍/면/동,설치유무,등록인구수
강원도,원주시,문막읍,0,19728
강원도,원주시,소초면,0,9420
강원도,원주시,호저면,0,4088
강원도,원주시,지정면,0,9638
강원도,원주시,부론면,0,2391
강원도,원주시,귀래면,0,2209
강원도,원주시,흥업면,0,9701
강원도,원주시,판부면,0,7616
강원도,원주시,신림면,0,3804
강원도,원주시,중앙동,0,3014
강원도,원주시,원인동,0,5870
강원도,원주시,개운동,0,13886
강원도,원주시,명륜1동,0,9494
강원도,원주시,명륜2동,0,17143
강원도,원주시,단구동,0,46006
강원도,원주시,일산동,0,8436
강원도,원주시,학성동,0,5370
강원도,원주시,단계동,0,26439
강원도,원주시,우산동,0,14745
강원도,원주시,태장1동,0,10620
강원도,원주시,태장2동,0,24159
강원도,원주시,봉산동,0,9059
강원도,원주시,행구동,0,8026
강원도,원주시,무실동,0,35048
강원도,원주시,반곡관설동,0,41511
